M,N,K,bias,dtype,outdtype,scaleAB
256,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
256,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
256,8,4096,False,torch.bfloat16,torch.float32,False
248,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
248,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
248,8,4096,False,torch.bfloat16,torch.float32,False
240,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
240,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
240,8,4096,False,torch.bfloat16,torch.float32,False
232,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
232,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
232,8,4096,False,torch.bfloat16,torch.float32,False
224,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
224,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
224,8,4096,False,torch.bfloat16,torch.float32,False
216,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
216,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
216,8,4096,False,torch.bfloat16,torch.float32,False
208,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
208,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
208,8,4096,False,torch.bfloat16,torch.float32,False
200,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
200,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
200,8,4096,False,torch.bfloat16,torch.float32,False
192,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
192,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
192,8,4096,False,torch.bfloat16,torch.float32,False
184,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
184,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
184,8,4096,False,torch.bfloat16,torch.float32,False
176,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
176,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
176,8,4096,False,torch.bfloat16,torch.float32,False
168,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
168,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
168,8,4096,False,torch.bfloat16,torch.float32,False
160,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
160,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
160,8,4096,False,torch.bfloat16,torch.float32,False
152,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
152,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
152,8,4096,False,torch.bfloat16,torch.float32,False
144,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
144,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
144,8,4096,False,torch.bfloat16,torch.float32,False
136,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
136,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
136,8,4096,False,torch.bfloat16,torch.float32,False
128,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
128,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
128,8,4096,False,torch.bfloat16,torch.float32,False
120,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
120,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
120,8,4096,False,torch.bfloat16,torch.float32,False
112,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
112,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
112,8,4096,False,torch.bfloat16,torch.float32,False
104,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
104,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
104,8,4096,False,torch.bfloat16,torch.float32,False
96,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
96,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
96,8,4096,False,torch.bfloat16,torch.float32,False
88,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
88,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
88,8,4096,False,torch.bfloat16,torch.float32,False
80,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
80,4096,512,False,torch.float8_e4m3fnuz,torch.bfloat16,True
80,8,4096,False,torch.bfloat16,torch.float32,False
72,768,4096,False,torch.float8_e4m3fnuz,torch.bfloat16,True
